"ensemble" "extent_space" "extent_time" "channel" "irrep" "total_momentum_d_sq" "irrep_col" "irrep_row" "outlier_cutoff" "boot_method" "boot_R" "boot_seed" "boot_l" "pion_total_momentum_d_sq" "pion_tmin" "pion_tmax" "gevp_sort_type" "gevp_mask" "correlator_id" "fit_method_count" "cm_mass_val" "cm_mass_err" "pion_mass_val" "pion_mass_err" "cm_mass_over_pion_mass_val" "cm_mass_over_pion_mass_err"
"cA2.09.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 2 0.271206620351157 0.00459256172434139 0.0620521770085929 4.3175699640508e-05 4.37062216710948 0.0739841262828921
"cA2.09.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 2 0.309906742197356 0.00286088016353682 0.0620521770085929 4.3175699640508e-05 4.99429282157885 0.046173582978903
"cA2.09.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 2 0.290824143162149 0.00475872107309512 0.0620521770085929 4.3175699640508e-05 4.6867677683875 0.0766140115078055
"cA2.09.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 4 0.366914697115401 0.0133378182621234 0.0620521770085929 4.3175699640508e-05 5.91300281156277 0.214859192185408
"cA2.09.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 3 5 0.397381008536044 0.016460214589877 0.0620521770085929 4.3175699640508e-05 6.40398174073757 0.265171473110696
"cA2.09.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 3 0.243176768191054 0.00475088205604086 0.0620521770085929 4.3175699640508e-05 3.91890792417129 0.0765432234725847
"cA2.09.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 2 0.323791567498031 0.00802656626499503 0.0620521770085929 4.3175699640508e-05 5.21805330783467 0.129089754338512
"cA2.09.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 3 5 0.398454441068982 0.0236572023022161 0.0620521770085929 4.3175699640508e-05 6.42128061057076 0.381126318125316
"cA2.09.48" 48 96 "3pi_I3" "B2" 4 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.398449696697542 0.0203638540711984 0.0620521770085929 4.3175699640508e-05 6.42120415279491 0.328127791734066
"cA2.09.48" 48 96 "3pi_I3" "E" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.354257706998761 0.0138745237396352 0.0620521770085929 4.3175699640508e-05 5.70902946643924 0.223917995535607
"cA2.09.48" 48 96 "3pi_I3" "E" 3 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 2 5 0.499931261189133 0.0534990835793191 0.0620521770085929 4.3175699640508e-05 8.05662726579122 0.862144517526666
"cA2.09.48" 48 96 "3pi_I3" "Eu" 0 1 1 3 "bootstrap" 500 1 1 0 25 46 "values" NA 1 5 0.367192953597706 0.00868176063887994 0.0620521770085929 4.3175699640508e-05 5.91748704556905 0.139884412091788
"cA2.30.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.255846195322692 0.000992869533231809 0.111946872699906 6.97340133956549e-05 2.28542512311652 0.00831304855181036
"cA2.30.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.376560875621422 0.0011462783045047 0.111946872699906 6.97340133956549e-05 3.3637462712412 0.0100988053219857
"cA2.30.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.443310900503353 0.00227947693021368 0.111946872699906 6.97340133956549e-05 3.96001147519081 0.0204442895011076
"cA2.30.48" 48 96 "2pi_I2" "A1" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.464732877868989 0.00211728460667279 0.111946872699906 6.97340133956549e-05 4.15136990128156 0.0188350093095666
"cA2.30.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.274975669281799 0.00135239205166857 0.111946872699906 6.97340133956549e-05 2.45630505479971 0.0117755104229371
"cA2.30.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.294106973309474 0.00100563082953252 0.111946872699906 6.97340133956549e-05 2.62720133413536 0.00896823939866253
"cA2.30.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.386949179144126 0.00138934779374861 0.111946872699906 6.97340133956549e-05 3.45654299947631 0.0122409214458526
"cA2.30.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.398918116809644 0.00246975551112289 0.111946872699906 6.97340133956549e-05 3.56345923015658 0.0222367248459967
"cA2.30.48" 48 96 "2pi_I2" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 5 4 0.476957489154537 0.00299880085687915 0.111946872699906 6.97340133956549e-05 4.26057001550287 0.026906935772726
"cA2.30.48" 48 96 "2pi_I2" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.289613472733638 0.00129987779464728 0.111946872699906 6.97340133956549e-05 2.58706175303351 0.0113293021636769
"cA2.30.48" 48 96 "2pi_I2" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.329209366527342 0.00286956348998378 0.111946872699906 6.97340133956549e-05 2.94076429816711 0.0253678814336677
"cA2.30.48" 48 96 "2pi_I2" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.498209602228359 0.00440869728740012 0.111946872699906 6.97340133956549e-05 4.45041107636745 0.0396124943612159
"cA2.30.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 4 0.227042314017723 0.00108075204393465 0.111946872699906 6.97340133956549e-05 2.02812556118786 0.00974558589969975
"cA2.30.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 4 0.304544626950383 0.00192619603694289 0.111946872699906 6.97340133956549e-05 2.72043889753642 0.0171367520806559
"cA2.30.48" 48 96 "2pi_I2" "A1" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 4 0.350217974838729 0.00190680197785019 0.111946872699906 6.97340133956549e-05 3.12843017756782 0.0169803481070019
"cA2.30.48" 48 96 "2pi_I2" "A1g" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.225326329944935 0.000387397773283118 0.111946872699906 6.97340133956549e-05 2.01279700370874 0.0027842617353051
"cA2.30.48" 48 96 "2pi_I2" "A1g" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.354721491762413 0.00130284774028988 0.111946872699906 6.97340133956549e-05 3.168659232789 0.0118274869966464
"cA2.30.48" 48 96 "2pi_I2" "A1g" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.446380461324243 0.00353355799108834 0.111946872699906 6.97340133956549e-05 3.98743127484094 0.031462011252444
"cA2.30.48" 48 96 "2pi_I2" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.391392423232632 0.00155346173950478 0.111946872699906 6.97340133956549e-05 3.49623364899019 0.0138997255172649
"cA2.30.48" 48 96 "2pi_I2" "B1" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.366678091612993 0.00127306415164826 0.111946872699906 6.97340133956549e-05 3.27546525212849 0.0113762649280588
"cA2.30.48" 48 96 "2pi_I2" "B1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.386220769118198 0.00120925182751669 0.111946872699906 6.97340133956549e-05 3.45003625204907 0.0107430346462855
"cA2.30.48" 48 96 "2pi_I2" "B1" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.349271961562017 0.00155960303388307 0.111946872699906 6.97340133956549e-05 3.11997962192569 0.0135356250054701
"cA2.30.48" 48 96 "2pi_I2" "B2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.458201810466703 0.00349761877868246 0.111946872699906 6.97340133956549e-05 4.0930291254763 0.0312928543641658
"cA2.30.48" 48 96 "2pi_I2" "B2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 4 0.472579732987528 0.00223435960924041 0.111946872699906 6.97340133956549e-05 4.22146435706484 0.0199573915283677
"cA2.30.48" 48 96 "2pi_I2" "E" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 4 0.37067357001877 0.00211127240638787 0.111946872699906 6.97340133956549e-05 3.31115609644968 0.0182792301144584
"cA2.30.48" 48 96 "2pi_I2" "E" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.450228057855657 0.00296555346312104 0.111946872699906 6.97340133956549e-05 4.02180111866613 0.0265291767194456
"cA2.30.48" 48 96 "2pi_I2" "E" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.317606106577552 0.00107159102647955 0.111946872699906 6.97340133956549e-05 2.83711459657255 0.00949087621446035
"cA2.30.48" 48 96 "2pi_I2" "E" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.497424845903762 0.00463743662621724 0.111946872699906 6.97340133956549e-05 4.44340099823244 0.0411904182276101
"cA2.30.48" 48 96 "2pi_I2" "Eg" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.346210345312449 0.000805715488923687 0.111946872699906 6.97340133956549e-05 3.0926307896115 0.00740011702697542
"cA2.30.48" 48 96 "2pi_I2" "Eg" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.434088457225955 0.00200029137224115 0.111946872699906 6.97340133956549e-05 3.8776291535147 0.0178878312655795
"cA2.30.48" 48 96 "3pi_I3" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.524685839170717 0.00404564584194711 0.111946872699906 6.97340133956549e-05 4.68691823644982 0.0360500988280706
"cA2.30.48" 48 96 "3pi_I3" "A1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.542895946232219 0.004496893914528 0.111946872699906 6.97340133956549e-05 4.84958563949839 0.0400755176494336
"cA2.30.48" 48 96 "3pi_I3" "A1" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.575094112300769 0.00343081476878583 0.111946872699906 6.97340133956549e-05 5.13720569794221 0.0305047319330089
"cA2.30.48" 48 96 "3pi_I3" "A1u" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.341315195196911 0.00116374361791491 0.111946872699906 6.97340133956549e-05 3.04890335000129 0.0100941348586638
"cA2.30.48" 48 96 "3pi_I3" "A1u" 0 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.476833769534354 0.00288166946693092 0.111946872699906 6.97340133956549e-05 4.25946485180156 0.0251153317996086
"cA2.30.48" 48 96 "3pi_I3" "A2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.380030431753382 0.00200916338070476 0.111946872699906 6.97340133956549e-05 3.39473915249176 0.0176725933827662
"cA2.30.48" 48 96 "3pi_I3" "A2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.50529328600261 0.0044068779959989 0.111946872699906 6.97340133956549e-05 4.51368826851591 0.0389101733428785
"cA2.30.48" 48 96 "3pi_I3" "A2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.510746803358504 0.00249534417909959 0.111946872699906 6.97340133956549e-05 4.5624034958766 0.022128179696032
"cA2.30.48" 48 96 "3pi_I3" "A2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.522064264182547 0.0050330714357859 0.111946872699906 6.97340133956549e-05 4.66350020855013 0.0447439393293054
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.410074694771052 0.00216119462478711 0.111946872699906 6.97340133956549e-05 3.66311880699278 0.0188133008296724
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.430477819809703 0.00276764000294271 0.111946872699906 6.97340133956549e-05 3.84537602013838 0.0243640890424614
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.514322160041406 0.0041402548889264 0.111946872699906 6.97340133956549e-05 4.5943414732106 0.0371924462122001
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.534181357265644 0.00373955969871743 0.111946872699906 6.97340133956549e-05 4.77173988323564 0.0335531876666039
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 5 5 0.541030568456616 0.0104029491943107 0.111946872699906 6.97340133956549e-05 4.8329225766489 0.0925417198679052
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 6 5 0.540723968463224 0.00646810031464673 0.111946872699906 6.97340133956549e-05 4.8301837775561 0.0577723782290189
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 7 5 0.549255906476671 0.0066803788958401 0.111946872699906 6.97340133956549e-05 4.90639794779307 0.0592720898787448
"cA2.30.48" 48 96 "3pi_I3" "A2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 8 5 0.561339100616026 0.00482436479822026 0.111946872699906 6.97340133956549e-05 5.0143348096985 0.043526806006822
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.428594298964597 0.0032649266728 0.111946872699906 6.97340133956549e-05 3.82855088871953 0.0290483650273347
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.464499905993261 0.00436156176731321 0.111946872699906 6.97340133956549e-05 4.14928880807986 0.0384138539799314
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.479083588859701 0.00387921905959145 0.111946872699906 6.97340133956549e-05 4.27956205747678 0.0341970162493054
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.564195847344916 0.00299250940329715 0.111946872699906 6.97340133956549e-05 5.03985358177307 0.0267273999818275
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 5 5 0.57399823246575 0.00336793066695055 0.111946872699906 6.97340133956549e-05 5.12741641300206 0.0300496259599414
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 6 5 0.583952321971764 0.010234667090174 0.111946872699906 6.97340133956549e-05 5.21633439048498 0.0912417850324183
"cA2.30.48" 48 96 "3pi_I3" "A2" 3 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 7 5 0.595012512937942 0.0074491725328911 0.111946872699906 6.97340133956549e-05 5.31513296073023 0.0663198207850933
"cA2.30.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.383205934503922 0.00422771700399736 0.111946872699906 6.97340133956549e-05 3.42310531113429 0.0374437461139343
"cA2.30.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.449534027820645 0.00267103843800732 0.111946872699906 6.97340133956549e-05 4.01560148112134 0.0237182334361025
"cA2.30.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.498566622565671 0.00671009692927442 0.111946872699906 6.97340133956549e-05 4.4536002707478 0.0594574039282693
"cA2.30.48" 48 96 "3pi_I3" "A2" 4 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 4 5 0.523307729309457 0.0035984879349096 0.111946872699906 6.97340133956549e-05 4.67460784467181 0.0318124071555793
"cA2.30.48" 48 96 "3pi_I3" "B1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.538222372146685 0.00357935699447393 0.111946872699906 6.97340133956549e-05 4.80783749617989 0.0321605223304345
"cA2.30.48" 48 96 "3pi_I3" "B1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.544445545521131 0.00413635934733672 0.111946872699906 6.97340133956549e-05 4.86342791353016 0.0364874622142242
"cA2.30.48" 48 96 "3pi_I3" "B1" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 3 5 0.548035391792366 0.00457958108329337 0.111946872699906 6.97340133956549e-05 4.8954953235851 0.0411428165544188
"cA2.30.48" 48 96 "3pi_I3" "B2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.49571764783025 0.00229683914902721 0.111946872699906 6.97340133956549e-05 4.42815092440421 0.0201469972801929
"cA2.30.48" 48 96 "3pi_I3" "B2" 1 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.514158803100616 0.00512511592301907 0.111946872699906 6.97340133956549e-05 4.59288223690635 0.0454835603855286
"cA2.30.48" 48 96 "3pi_I3" "B2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 1 5 0.514200422709367 0.00385363140404787 0.111946872699906 6.97340133956549e-05 4.5932540169101 0.0345689498873721
"cA2.30.48" 48 96 "3pi_I3" "B2" 2 1 1 3 "bootstrap" 500 1 1 0 15 40 "values" NA 2 5 0.548135654219424 0.00490060920507145 0.111946872699906 6.97340133956549e-05 4.89639094866724 0.0432757678821322
